polling_firm,fieldwork_end,sample_size,gruene,cdu,spd,fdp,afd,linke,fw,bsw,others,is_federal_election,is_state_election
INSA,2026-01-27,1000,21,29,10,5,20,7,,3,5,0,0
Infratest dimap,2026-01-20,1168,23,29,8,5,20,7,,,8,0,0
Infratest dimap,2025-10-14,1158,20,29,10,5,21,7,,3,5,0,0
INSA,2025-10-14,1000,17,31,11,7,20,7,,3,4,0,0
Infratest dimap,2025-05-13,1146,20,31,10,5,19,7,,4,4,0,0
Wahlkreisprognose,2025-05-10,1100,23,26,12.5,4.5,23,5.5,,1.5,4,0,0
INSA,2025-05-06,1000,17,31,12,6,19,8,,4,3,0,0
Federal election,2025-02-23,,13.6,31.6,14.2,5.6,19.8,6.8,1.4,4.1,2.9,1,0
INSA,2025-02-10,1000,20,31,13,5,18,4,,5,4,0,0
Infratest dimap,2024-12-10,1156,22,33,13,4,15,,,4,9,0,0
INSA,2024-12-02,1000,20,34,11,6,17,,,6,3,0,0
Infratest dimap,2024-10-08,1166,18,34,13,5,16,,,5,9,0,0
INSA,2024-10-04,2000,18,32,13,6,18,3,,6,4,0,0
INSA,2024-08-12,1000,19,31,11,7,16,3,,8,5,0,0
INSA,2024-06-11,1000,19,30,12,7,15,3,,7,7,0,0
European Parliament election,2024-06-09,,13.8,32.0,11.6,6.8,14.7,1.9,3.8,4.5,10.9,1,0
Infratest dimap,2024-05-14,1148,22,32,11,7,14,,3,4,7,0,0
INSA,2024-03-11,1000,23,30,11,7,16,3,,7,3,0,0
Infratest dimap,2024-01-16,1152,22,32,9,7,18,,3,,9,0,0
Wahlkreisprognose,2023-10-27,1100,20,30,10,7,22,1.5,3,,6.5,0,0
Wahlkreisprognose,2023-10-27,1100,20,27,9,8,20,2,,,8,0,0
Infratest dimap,2023-09-25,1162,22,29,12,8,20,,,,,0,0
Wahlkreisprognose,2023-07-24,1000,25.5,24,11,7,21,2,3,,6.5,0,0
Infratest dimap,2023-07-18,1185,24,26,13,7,19,,,,,0,0
INSA,2023-03-27,1000,28,27,13,9,12,3,,,8,0,0
Infratest dimap,2023-03-21,1178,26,27,15,10,12,,,,,0,0
Wahlkreisprognose,2023-03-13,1005,28,32,10,6.5,13,2,3,,5.5,0,0
Wahlkreisprognose,2022-12-22,1000,28,23,15,9,15,2,2.5,,5.5,0,0
INSA,2022-10-31,1000,26,28,13,10,13,3,,,7,0,0
Infratest dimap,2022-10-25,1175,27,26,15,9,13,3,,,7,0,0
Wahlkreisprognose,2022-10-22,1014,27.5,22,15,8,16,3,4,,4.5,0,0
Wahlkreisprognose,2022-08-15,1300,30.5,24,13,10,12,2.5,3,,5,0,0
INSA,2022-07-11,1000,29,26,14,11,10,3,,,7,0,0
Wahlkreisprognose,2022-06-10,1000,30.5,20.5,14,13,11,4,,,7,0,0
Wahlkreisprognose,2022-05-06,1040,27.5,20.5,18,14,10,3,,,7,0,0
Infratest dimap,2022-04-19,1170,28,26,15,11,9,3,,,8,0,0
INSA,2022-04-04,1000,25,23,19,11,10,3,,,9,0,0
Wahlkreisprognose,2022-03-16,1600,27,25,16,14,9,2,,,7,0,0
Infratest dimap,2022-03-08,1152,27,24,18,13,9,3,,,6,0,0
Infratest dimap,2022-01-18,1166,26,23,16,12,11,4,,,8,0,0
Wahlkreisprognose,2021-12-30,1002,26,19,20,19,8.5,3,,,4.5,0,0
Infratest dimap,2021-10-12,1162,27,17,20,15,9,3,3,,6,0,0
INSA,2021-10-11,1000,24,20,21,16,9,3,,,7,0,0
2021 federal election,2021-09-26,,17.2,24.8,21.6,15.3,9.6,3.3,1.7,,6.5,1,0
Wahlkreisprognose,2021-07-28,,31,22,12,17,7.5,3,,,7.5,0,0
2021 state election,2021-03-14,,32.6,24.1,11.0,10.5,9.7,3.6,3.0,,5.5,0,1
